policyParams0,policyParams1,policyParams2
"[ 0.05715541  0.01337567 -0.06634157 ...,  0.40651495  0.03300001
 -0.40800001]","[-0.09422746  0.125062   -0.05537644 ..., -0.41817695 -0.033      -0.33300001]","[-0.11601779  0.15446958 -0.04549284 ...,  0.43837685 -0.051      -0.176     ]"
"[ 0.05765541  0.01287567 -0.06684157 ...,  0.40601495  0.03450001
 -0.40950001]","[-0.09322746  0.126062   -0.05637644 ..., -0.41317695 -0.038      -0.32900001]","[-0.11651779  0.15596958 -0.04499284 ...,  0.43687685 -0.0515     -0.1775    ]"
"[ 0.05915541  0.01437567 -0.06534157 ...,  0.40751495  0.03300001
 -0.40900001]","[-0.09322746  0.127062   -0.05737646 ..., -0.41217695 -0.042      -0.32700001]","[-0.11851779  0.15796956 -0.04499283 ...,  0.43887685 -0.0495     -0.1745    ]"
"[ 0.05815541  0.01337567 -0.06634157 ...,  0.40651495  0.03400001
 -0.41000001]","[-0.09522746  0.129062   -0.05737647 ..., -0.41417695 -0.044      -0.32600001]","[-0.12001779  0.15946956 -0.04349284 ...,  0.43737685 -0.048      -0.173     ]"
"[ 0.05865541  0.01387567 -0.06584157 ...,  0.40701495  0.03450001
 -0.41050001]","[-0.09422746  0.128062   -0.05637647 ..., -0.41717695 -0.049      -0.32400001]","[-0.12101779  0.16146931 -0.04249284 ...,  0.43537685 -0.049      -0.173     ]"
"[ 0.05865541  0.01387567 -0.06584157 ...,  0.40901495  0.03250001
 -0.40850001]","[-0.09422746  0.128062   -0.05537647 ..., -0.42017695 -0.051      -0.32500001]","[-0.12151779  0.16196929 -0.04199284 ...,  0.43487685 -0.0495     -0.1745    ]"
"[ 0.05615541  0.01137567 -0.06734157 ...,  0.40851495  0.02900001
 -0.40800001]","[-0.09372746  0.127562   -0.05487647 ..., -0.42067695 -0.0505     -0.32550001]","[-0.12301779  0.16346929 -0.04049284 ...,  0.43137685 -0.047      -0.173     ]"
"[ 0.05815541  0.01337567 -0.06634157 ...,  0.40651495  0.02600001
 -0.40900001]","[-0.09222746  0.126062   -0.05337648 ..., -0.42017695 -0.05       -0.32400001]","[-0.12401779  0.16446929 -0.03949284 ...,  0.43237685 -0.047      -0.173     ]"
"[ 0.05615541  0.01137567 -0.06834157 ...,  0.40351495  0.02900001
 -0.40900001]","[-0.09272746  0.126562   -0.05387647 ..., -0.42167695 -0.0495     -0.32250001]","[-0.12001779  0.16046929 -0.04349284 ...,  0.43637685 -0.048      -0.172     ]"
"[ 0.05415541  0.00837567 -0.07134157 ...,  0.39851495  0.03300001
 -0.40500001]","[-0.09322746  0.127062   -0.05437647 ..., -0.42017695 -0.051      -0.32100001]","[-0.11951779  0.15996929 -0.04399284 ...,  0.43787685 -0.0495     -0.1715    ]"
"[ 0.05515541  0.00937567 -0.07034157 ...,  0.39951495  0.03200001
 -0.40400001]","[-0.09222746  0.126062   -0.05137647 ..., -0.42417695 -0.048      -0.32300001]","[-0.12101779  0.16246929 -0.04249284 ...,  0.43937685 -0.048      -0.169     ]"
"[ 0.06015541  0.01437567 -0.06534157 ...,  0.40351495  0.02700001
 -0.40400001]","[-0.09122746  0.125062   -0.04737648 ..., -0.42917695 -0.043      -0.32700001]","[-0.12301779  0.16046929 -0.04049284 ...,  0.43737685 -0.05       -0.17      ]"
"[ 0.06515541  0.01937567 -0.06034157 ...,  0.40651495  0.02200001
 -0.40600001]","[-0.08922746  0.122062   -0.04237648 ..., -0.43317695 -0.042      -0.32700001]","[-0.12401779  0.15946929 -0.03949284 ...,  0.43537685 -0.048      -0.171     ]"
"[ 0.07015541  0.02437567 -0.05534157 ...,  0.40951495  0.01800001
 -0.40700001]","[-0.09022746  0.122062   -0.03837649 ..., -0.43717695 -0.037      -0.33000001]","[-0.12501779  0.15946929 -0.03949283 ...,  0.43437685 -0.048      -0.173     ]"
"[ 0.07515541  0.02937567 -0.05034157 ...,  0.41151495  0.01400001
 -0.40400001]","[-0.09222746  0.122062   -0.03337649 ..., -0.44217695 -0.036      -0.33200001]","[-0.12551779  0.1589693  -0.03899283 ...,  0.43387685 -0.0485     -0.1715    ]"
"[ 0.07965541  0.03387567 -0.04584157 ...,  0.41101495  0.01150001
 -0.40550001]","[-0.09122746  0.121062   -0.03437649 ..., -0.44117695 -0.037      -0.33300001]","[-0.12401779  0.1604693  -0.04049283 ...,  0.43337685 -0.048      -0.17      ]"
"[ 0.08115541  0.03537567 -0.04734157 ...,  0.40951495  0.01300001
 -0.40400001]","[-0.08972746  0.119562   -0.03587648 ..., -0.44267695 -0.0385     -0.33450001]","[-0.11901779  0.1654693  -0.04549283 ...,  0.43037685 -0.047      -0.167     ]"
"[ 0.08415541  0.03837567 -0.05034156 ...,  0.40751495  0.01600001
 -0.40100001]","[-0.08972746  0.119562   -0.03487649 ..., -0.44567695 -0.0395     -0.33750001]","[-0.11401779  0.17046929 -0.05049283 ...,  0.42837685 -0.046      -0.166     ]"
"[ 0.08365541  0.03787567 -0.04984156 ...,  0.40601495  0.01450001
 -0.39950001]","[-0.08722746  0.117062   -0.03437649 ..., -0.44317695 -0.037      -0.33900001]","[-0.10901779  0.17346929 -0.05549283 ...,  0.42437685 -0.047      -0.164     ]"
"[ 0.08215541  0.03637567 -0.04834157 ...,  0.40451495  0.01300001
 -0.39800001]","[-0.08722746  0.117062   -0.03537649 ..., -0.44217695 -0.036      -0.33900001]","[-0.10501779  0.17746929 -0.05949283 ...,  0.42237685 -0.046      -0.162     ]"
"[ 0.08115541  0.03637567 -0.04934157 ...,  0.40451495  0.01300001
 -0.39800001]","[-0.08222746  0.112062   -0.03037649 ..., -0.44617695 -0.041      -0.34300001]","[-0.10701779  0.17546929 -0.05749283 ...,  0.42337685 -0.045      -0.164     ]"
"[ 0.08215538  0.03737566 -0.04834156 ...,  0.40951495  0.01600001
 -0.39500001]","[-0.07722746  0.107062   -0.02537649 ..., -0.44817695 -0.045      -0.34800001]","[-0.11201779  0.17046929 -0.05249283 ...,  0.42837685 -0.043      -0.169     ]"
"[ 0.08265538  0.03787566 -0.04884156 ...,  0.41101495  0.01650001
 -0.39350001]","[-0.07522746  0.104062   -0.02337649 ..., -0.44917695 -0.046      -0.34900001]","[-0.11501779  0.16646929 -0.04749284 ...,  0.43037685 -0.04       -0.174     ]"
"[ 0.07915538  0.03437566 -0.0483416  ...,  0.40851495  0.01400001
 -0.39600001]","[-0.07622746  0.105062   -0.02237649 ..., -0.45017695 -0.045      -0.34800001]","[-0.11801779  0.16246929 -0.04249284 ...,  0.43437685 -0.036      -0.179     ]"
"[ 0.07515538  0.03037566 -0.0473416  ...,  0.40451495  0.01000001
 -0.39900001]","[-0.07772746  0.106562   -0.02087649 ..., -0.44967695 -0.0435     -0.34850001]","[-0.11801779  0.1574693  -0.04049284 ...,  0.43737685 -0.037      -0.183     ]"
"[ 0.07265538  0.02787566 -0.04684162 ...,  0.40101495  0.00850001
 -0.40050001]","[-0.07622746  0.104062   -0.02237649 ..., -0.44617695 -0.045      -0.34600001]","[-0.11851779  0.1559693  -0.03999284 ...,  0.43687685 -0.0345     -0.1855    ]"
"[ 0.07115538  0.02637566 -0.04534162 ...,  0.40151495  0.01000001
 -0.39900001]","[-0.07672746  0.104562   -0.02187649 ..., -0.44667695 -0.0445     -0.34550001]","[-0.11601779  0.1584693  -0.04249284 ...,  0.43637685 -0.036      -0.188     ]"
"[ 0.07215538  0.02737566 -0.04634162 ...,  0.40251495  0.01100001
 -0.39800001]","[-0.08222746  0.107062   -0.01637649 ..., -0.44917695 -0.044      -0.34100001]","[-0.11101779  0.1634693  -0.04749284 ...,  0.43437685 -0.04       -0.193     ]"
"[ 0.07565538  0.02987565 -0.04784162 ...,  0.40501495  0.00850001
 -0.39850001]","[-0.08472746  0.107562   -0.01387649 ..., -0.44867695 -0.0435     -0.33950001]","[-0.10651779  0.16796929 -0.05199284 ...,  0.43487685 -0.0415     -0.1975    ]"
"[ 0.07515538  0.02937565 -0.0493416  ...,  0.40351495  0.00700001
 -0.39700001]","[-0.08122746  0.104062   -0.01737649 ..., -0.44617695 -0.042      -0.338     ]","[-0.10701779  0.1674693  -0.05149284 ...,  0.43437685 -0.043      -0.197     ]"
"[ 0.07315538  0.02737565 -0.0493416  ...,  0.40151495  0.00500001
 -0.39600001]","[-0.08022746  0.103062   -0.01837649 ..., -0.44617695 -0.042      -0.338     ]","[-0.10801779  0.1664693  -0.05049284 ...,  0.43537685 -0.042      -0.198     ]"
"[ 0.07015538  0.02437566 -0.0473416  ...,  0.39951495  0.00600001
 -0.39900001]","[-0.08172746  0.104562   -0.01687649 ..., -0.44667695 -0.0435     -0.3355    ]","[-0.11001779  0.1654693  -0.04849284 ...,  0.43637685 -0.042      -0.201     ]"
"[ 0.06965538  0.02287566 -0.0458416  ...,  0.39801495  0.00650001
 -0.39950001]","[-0.08022746  0.103062   -0.01837649 ..., -0.44317696 -0.046      -0.334     ]","[-0.11051779  0.1649693  -0.04799284 ...,  0.43787685 -0.0435     -0.2025    ]"
"[ 0.07065538  0.02387566 -0.0448416  ...,  0.40001495  0.00450001
 -0.40050001]","[-0.08022746  0.103062   -0.01837649 ..., -0.44417696 -0.049      -0.333     ]","[-0.11201779  0.1644693  -0.04749284 ...,  0.43837685 -0.044      -0.201     ]"
"[ 0.07315538  0.02637566 -0.0473416  ...,  0.39851495  0.00400001
 -0.39900001]","[-0.07922746  0.102062   -0.01937649 ..., -0.44317696 -0.05       -0.332     ]","[-0.11151779  0.1649693  -0.04699284 ...,  0.43687685 -0.0445     -0.1975    ]"
"[ 0.07365538  0.02687566 -0.0478416  ...,  0.39901495  0.00450001
 -0.39850001]","[-0.07972746  0.102562   -0.01887649 ..., -0.44367696 -0.0495     -0.3315    ]","[-0.11201779  0.1644693  -0.04649284 ...,  0.43537685 -0.044      -0.196     ]"
"[ 0.07515538  0.02837566 -0.04734159 ...,  0.40051495  0.00700001
 -0.39900001]","[-0.08022746  0.103062   -0.0183765  ..., -0.44817696 -0.051      -0.33      ]","[-0.11201779  0.1644693  -0.04649284 ...,  0.43437685 -0.044      -0.195     ]"
"[ 0.07215538  0.02537566 -0.0453416  ...,  0.39751495  0.00500001
 -0.40200001]","[-0.08172746  0.104562   -0.0168765  ..., -0.44667696 -0.0495     -0.3295    ]","[-0.11701779  0.1604693  -0.04149284 ...,  0.43037685 -0.046      -0.199     ]"
"[ 0.06715538  0.02037566 -0.04234161 ...,  0.39251495  0.00100001
 -0.40400001]","[-0.08022746  0.103062   -0.0183765  ..., -0.44517696 -0.049      -0.331     ]","[-0.12201779  0.1554693  -0.03649284 ...,  0.42537685 -0.049      -0.201     ]"
"[ 0.06415538  0.01737566 -0.04034161 ...,  0.38851495 -0.00099999
 -0.40900001]","[-0.07972746  0.102562   -0.0188765  ..., -0.44467696 -0.0485     -0.3315    ]","[-0.12551779  0.1529693  -0.03199284 ...,  0.42087685 -0.0515     -0.2045    ]"
"[ 0.06315538  0.01637566 -0.03934161 ...,  0.38751495 -0.00099999
 -0.40900001]","[-0.08122746  0.10406199 -0.0173765  ..., -0.44417696 -0.049      -0.33      ]","[-0.12601779  0.1514693  -0.03249284 ...,  0.42037685 -0.05       -0.206     ]"
"[ 0.06165538  0.01487566 -0.03784161 ...,  0.38501495 -0.00049999
 -0.40950001]","[-0.08122746  0.10406199 -0.0173765  ..., -0.44017696 -0.045      -0.328     ]","[-0.12651779  0.1509693  -0.03199284 ...,  0.42087685 -0.0495     -0.2065    ]"
"[ 0.05915538  0.01237566 -0.03534161 ...,  0.38751495  0.00200001
 -0.41200001]","[-0.08322746  0.10206199 -0.0153765  ..., -0.43517696 -0.041      -0.328     ]","[-0.12751779  0.15096931 -0.03199284 ...,  0.41987685 -0.0485     -0.2055    ]"
"[ 0.05415538  0.00737566 -0.03034161 ...,  0.39051495  0.00500001
 -0.41700001]","[-0.08422746  0.10206199 -0.0143765  ..., -0.43217696 -0.037      -0.326     ]","[-0.12851779  0.14896931 -0.02999284 ...,  0.41687685 -0.0475     -0.2075    ]"
"[ 0.04915538  0.00237566 -0.02534161 ...,  0.39151495  0.00800001
 -0.41900001]","[-0.08422746  0.10306199 -0.0143765  ..., -0.43217696 -0.037      -0.325     ]","[-0.12901779  0.14846931 -0.02949284 ...,  0.41537685 -0.046      -0.208     ]"
"[ 0.04815538  0.00137566 -0.02434161 ...,  0.39051495  0.01200001
 -0.42200001]","[-0.08472746  0.10256199 -0.0138765  ..., -0.43167696 -0.0355     -0.3265    ]","[-0.12801779  0.14846931 -0.02949284 ...,  0.41537685 -0.046      -0.208     ]"
"[ 0.04765538  0.00087566 -0.02384161 ...,  0.39101495  0.01150001
 -0.42150001]","[-0.08672746  0.10056199 -0.0118765  ..., -0.43367696 -0.0335     -0.3265    ]","[-0.13051779  0.14596931 -0.02699284 ...,  0.41487685 -0.0505     -0.2095    ]"
"[ 0.05315538  0.00637566 -0.02934161 ...,  0.38551495  0.01400001
 -0.42300001]","[-0.08722746  0.10006199 -0.0113765  ..., -0.43517696 -0.034      -0.326     ]","[-0.13101779  0.14546931 -0.02649284 ...,  0.41437685 -0.051      -0.211     ]"
"[ 0.05715538  0.01037566 -0.03334161 ...,  0.38251495  0.01500001
 -0.42400001]","[-0.08622746  0.10106199 -0.0123765  ..., -0.43417696 -0.035      -0.325     ]","[-0.13001779  0.14646931 -0.02749284 ...,  0.41537685 -0.05       -0.212     ]"
"[ 0.05615538  0.00937566 -0.03234161 ...,  0.38451495  0.01600001
 -0.42600001]","[-0.08622746  0.10106199 -0.0123765  ..., -0.43317696 -0.035      -0.324     ]","[-0.13001779  0.14746931 -0.03149284 ...,  0.41637685 -0.048      -0.214     ]"
"[ 0.05665538  0.00987566 -0.03284161 ...,  0.38501495  0.01550001
 -0.42750001]","[-0.08522746  0.10206199 -0.0133765  ..., -0.43217696 -0.034      -0.323     ]","[-0.12601779  0.15147082 -0.03549284 ...,  0.42037685 -0.045      -0.215     ]"
"[ 0.05465538  0.00787566 -0.03084161 ...,  0.38301495  0.01750001
 -0.42950001]","[-0.08422746  0.10106202 -0.01437648 ..., -0.43117696 -0.033      -0.321     ]","[-0.12401779  0.15447082 -0.03849284 ...,  0.42137685 -0.043      -0.217     ]"
"[ 0.05315538  0.00637566 -0.02934161 ...,  0.38151495  0.02000001
 -0.42700001]","[-0.08522746  0.10006202 -0.01337648 ..., -0.43017696 -0.033      -0.32      ]","[-0.12601779  0.15247082 -0.03749284 ...,  0.42237685 -0.045      -0.215     ]"
"[ 0.05115538  0.00437566 -0.02734161 ...,  0.37951495  0.01800001
 -0.42900001]","[-0.08222746  0.10306202 -0.01637648 ..., -0.43017696 -0.036      -0.323     ]","[-0.12551779  0.15197082 -0.03699284 ...,  0.42287685 -0.0455     -0.2155    ]"
"[ 0.04915538  0.00237566 -0.02534161 ...,  0.37651495  0.01700001
 -0.43200001]","[-0.07922746  0.10706202 -0.01937648 ..., -0.43217696 -0.039      -0.325     ]","[-0.12401779  0.15347082 -0.03849284 ...,  0.42437685 -0.047      -0.216     ]"
"[ 0.04615538 -0.00062434 -0.02234162 ...,  0.37451495  0.01900001
 -0.43400001]","[-0.07822746  0.10806202 -0.02037648 ..., -0.43217696 -0.04       -0.326     ]","[-0.12501778  0.15447082 -0.03949284 ...,  0.42337685 -0.047      -0.21600001]"
"[  4.71553768e-02   3.75659212e-04  -2.33416139e-02 ...,   3.73514953e-01
   1.80000079e-02  -4.35000008e-01]","[-0.08322746  0.10306202 -0.01537648 ..., -0.43017696 -0.037      -0.324     ]","[-0.12401778  0.15547082 -0.04249284 ...,  0.42537685 -0.05       -0.22000001]"
"[ 0.04815537 -0.00062434 -0.02234162 ...,  0.37251495  0.01700001
 -0.43700001]","[-0.08422746  0.10406192 -0.01437648 ..., -0.42917696 -0.038      -0.323     ]","[-0.12501778  0.15447082 -0.04149284 ...,  0.42437685 -0.051      -0.21900001]"
"[ 0.04965537  0.00087566 -0.02384161 ...,  0.37101495  0.01550001
 -0.43750001]","[-0.08422746  0.10506191 -0.01437648 ..., -0.42817696 -0.038      -0.322     ]","[-0.12551778  0.15397082 -0.04099284 ...,  0.42387685 -0.0515     -0.21950001]"
"[ 0.04815537 -0.00062434 -0.02234162 ...,  0.37251495  0.01400001
 -0.43900001]","[-0.08372746  0.10556188 -0.01487648 ..., -0.42967696 -0.0365     -0.3235    ]","[-0.12551778  0.15397082 -0.04099283 ...,  0.42487685 -0.0525     -0.21750001]"
"[ 0.04715537 -0.00162434 -0.02134162 ...,  0.37151495  0.01500001
 -0.44000001]","[-0.08322746  0.10606188 -0.01537648 ..., -0.43117696 -0.038      -0.322     ]","[-0.12751778  0.15197082 -0.03899283 ...,  0.42587685 -0.0545     -0.21850001]"
"[ 0.04715537 -0.00062434 -0.02234162 ...,  0.36951495  0.01900001
 -0.44500001]","[-0.08622746  0.10606186 -0.01237648 ..., -0.42917696 -0.037      -0.321     ]","[-0.12901779  0.15047082 -0.03749283 ...,  0.42437685 -0.054      -0.22100001]"
"[  4.81553735e-02   3.75658951e-04  -2.33416151e-02 ...,   3.68514950e-01
   2.10000084e-02  -4.50000007e-01]","[-0.08822746  0.10806186 -0.01037648 ..., -0.43117696 -0.035      -0.319     ]","[-0.13001779  0.14947082 -0.03849283 ...,  0.42537685 -0.055      -0.22200001]"
"[ 0.04715537 -0.00062434 -0.02234162 ...,  0.36951495  0.02000001
 -0.45100001]","[-0.08872746  0.10856186 -0.00987648 ..., -0.43167696 -0.0345     -0.3195    ]","[-0.1310177   0.14947082 -0.03849283 ...,  0.42237685 -0.057      -0.22400001]"
"[ 0.04515537 -0.00362434 -0.01934162 ...,  0.37351495  0.01600001
 -0.45500001]","[-0.09022746  0.10606212 -0.00837648 ..., -0.43017696 -0.031      -0.319     ]","[-0.1310177   0.14947082 -0.03849283 ...,  0.42237685 -0.058      -0.22300001]"
"[ 0.04515537 -0.00362434 -0.01934162 ...,  0.37451495  0.01500001
 -0.45700001]","[-0.08972746  0.10656212 -0.00887648 ..., -0.42967696 -0.0305     -0.3185    ]","[-0.1310177   0.14947082 -0.03649283 ...,  0.41937685 -0.058      -0.22100001]"
"[ 0.04815537 -0.00062434 -0.02234162 ...,  0.37551495  0.01600001
 -0.45500001]","[-0.08872746  0.10756211 -0.00987648 ..., -0.42767696 -0.0295     -0.3165    ]","[-0.1320177   0.14847082 -0.03549283 ...,  0.42037684 -0.058      -0.21900001]"
"[ 0.05065537  0.00187566 -0.02484162 ...,  0.37501495  0.01850001
 -0.45250001]","[-0.08922745  0.11006204 -0.01137645 ..., -0.42517696 -0.029      -0.313     ]","[-0.1320177   0.14847082 -0.03749283 ...,  0.42237684 -0.056      -0.21700001]"
"[  4.86553781e-02  -1.24339303e-04  -2.28416177e-02 ...,   3.76014950e-01
   2.05000083e-02  -4.50500007e-01]","[-0.08722745  0.11206203 -0.01337645 ..., -0.42317696 -0.031      -0.314     ]","[-0.1315177   0.14697083 -0.03599283 ...,  0.42487684 -0.0545     -0.21650001]"
"[ 0.04715538 -0.00162434 -0.02134162 ...,  0.37651495  0.02200001
 -0.45200001]","[-0.08372745  0.11456203 -0.01687645 ..., -0.41967696 -0.0325     -0.3155    ]","[-0.1320177   0.14647083 -0.03549283 ...,  0.42337684 -0.056      -0.21800001]"
"[ 0.04715538 -0.00162434 -0.02134162 ...,  0.37751495  0.02200001
 -0.45300001]","[-0.08222745  0.11306203 -0.01837645 ..., -0.41917696 -0.034      -0.316     ]","[-0.1300177   0.14847083 -0.03849283 ...,  0.42637684 -0.053      -0.22000001]"
"[ 0.04665538 -0.00212434 -0.02184162 ...,  0.37801495  0.02350001
 -0.45250001]","[-0.08322745  0.11306203 -0.01737645 ..., -0.42117696 -0.034      -0.318     ]","[-0.1285177   0.14897083 -0.03899283 ...,  0.42787684 -0.0505     -0.22050001]"
"[ 0.04615538 -0.00262434 -0.02134162 ...,  0.37751495  0.02200001
 -0.45400001]","[-0.08472745  0.11356203 -0.01687645 ..., -0.42267696 -0.0365     -0.3185    ]","[-0.1290177   0.14847083 -0.03849283 ...,  0.42737684 -0.051      -0.22100001]"
"[ 0.04615538 -0.00362434 -0.02034162 ...,  0.37551495  0.02100001
 -0.45500001]","[-0.08422745  0.11306204 -0.01737645 ..., -0.42217696 -0.035      -0.318     ]","[-0.1275177   0.14997083 -0.03999283 ...,  0.42787684 -0.0525     -0.22150001]"
"[ 0.04665538 -0.00312434 -0.02084162 ...,  0.37801495  0.01950001
 -0.45250001]","[-0.08272745  0.11356203 -0.01887645 ..., -0.42367696 -0.0365     -0.3195    ]","[-0.1280177   0.14947083 -0.03949283 ...,  0.42937684 -0.053      -0.22400001]"
"[ 0.04515538 -0.00462434 -0.01934162 ...,  0.37951495  0.01700001
 -0.45500001]","[-0.08122745  0.11206203 -0.02037645 ..., -0.42317696 -0.038      -0.319     ]","[-0.1290177   0.14847083 -0.03849283 ...,  0.42837684 -0.054      -0.22300001]"
"[ 0.04465538 -0.00512434 -0.01884162 ...,  0.38001495  0.01750001
 -0.45550001]","[-0.08022745  0.11106204 -0.02137645 ..., -0.42417696 -0.037      -0.318     ]","[-0.1285177   0.14897083 -0.03899283 ...,  0.42787684 -0.0535     -0.22350001]"
"[ 0.04715538 -0.00462434 -0.01934162 ...,  0.38451495  0.01300001
 -0.46100001]","[-0.08072745  0.11256205 -0.02087645 ..., -0.42267696 -0.0335     -0.3165    ]","[-0.1300177   0.15047083 -0.04049283 ...,  0.43037684 -0.055      -0.22400001]"
"[ 0.04815538 -0.00362434 -0.02134162 ...,  0.38951495  0.01000001
 -0.46600001]","[-0.08222745  0.11106205 -0.01937645 ..., -0.42117696 -0.034      -0.315     ]","[-0.1315177   0.14897083 -0.03899283 ...,  0.43087684 -0.0545     -0.22350001]"
"[ 0.05015538 -0.00162434 -0.02434162 ...,  0.39151495  0.00800001
 -0.47100001]","[-0.08122745  0.11206205 -0.02037645 ..., -0.42217696 -0.035      -0.314     ]","[-0.1330177   0.14747083 -0.03749283 ...,  0.43137684 -0.054      -0.22400001]"
"[ 0.04815538 -0.00362434 -0.02434162 ...,  0.39651495  0.00300001
 -0.47600001]","[-0.07822745  0.11506205 -0.02337645 ..., -0.42217696 -0.037      -0.317     ]","[-0.1310177   0.14947083 -0.03949283 ...,  0.42837684 -0.053      -0.22600001]"
"[  4.81553823e-02  -3.62433774e-03  -2.53416198e-02 ...,   4.00514949e-01
   8.57026289e-09  -4.81000008e-01]","[-0.07872745  0.11456205 -0.02287645 ..., -0.42067696 -0.0365     -0.3175    ]","[-0.1305177   0.14997083 -0.03999283 ...,  0.42787684 -0.0535     -0.22650001]"
"[ 0.04715538 -0.00462434 -0.02634162 ...,  0.39951495  0.00100001
 -0.48000001]","[-0.08022745  0.11506204 -0.02137645 ..., -0.42217696 -0.035      -0.316     ]","[-0.1340177   0.14747083 -0.03849283 ...,  0.42537684 -0.057      -0.22600001]"
"[ 0.04615538 -0.00562434 -0.02534162 ...,  0.39851495  0.00100001
 -0.48000001]","[-0.08122745  0.11306233 -0.01937646 ..., -0.42517696 -0.035      -0.319     ]","[-0.1325177   0.14797083 -0.03999283 ...,  0.42487684 -0.0585     -0.22750001]"
"[ 0.04565538 -0.00612434 -0.02484162 ...,  0.39801495  0.00050001
 -0.48050001]","[-0.08122745  0.11506233 -0.02137645 ..., -0.42617696 -0.036      -0.32      ]","[-0.1310177   0.14847083 -0.04049279 ...,  0.42637684 -0.057      -0.22900001]"
"[ 0.04465538 -0.00812433 -0.02384162 ...,  0.40101495  0.00350001
 -0.48250001]","[-0.08072745  0.11556233 -0.02187645 ..., -0.42567696 -0.0355     -0.3205    ]","[-0.1330177   0.14647083 -0.03849279 ...,  0.42537684 -0.055      -0.23100001]"
"[ 0.04415538 -0.00862433 -0.02334162 ...,  0.39951495  0.00500001
 -0.48400001]","[-0.08072745  0.11556233 -0.02187646 ..., -0.42367696 -0.0355     -0.3185    ]","[-0.1355177   0.14297083 -0.03599279 ...,  0.42387684 -0.0555     -0.23250001]"
"[ 0.04215538 -0.01162433 -0.02134162 ...,  0.39651495  0.00500001
 -0.48600001]","[-0.07972745  0.11656233 -0.02387645 ..., -0.42367696 -0.0355     -0.3175    ]","[-0.1350177   0.14347083 -0.03749279 ...,  0.42437684 -0.056      -0.23300001]"
"[ 0.04415538 -0.00962433 -0.02334162 ...,  0.39851495  0.00700001
 -0.48700001]","[-0.07922745  0.11706233 -0.02437645 ..., -0.42217696 -0.036      -0.316     ]","[-0.1350177   0.14347083 -0.03849279 ...,  0.42437684 -0.056      -0.23400001]"
"[ 0.04915538 -0.00462433 -0.02834162 ...,  0.39851495  0.00900001
 -0.48900001]","[-0.07872745  0.11756233 -0.02487645 ..., -0.42167696 -0.0365     -0.3155    ]","[-0.1310177   0.14747083 -0.04249279 ...,  0.42737684 -0.061      -0.23200001]"
"[  5.41553802e-02   3.75665687e-04  -3.33416167e-02 ...,   3.98514949e-01
   1.00000086e-02  -4.88000007e-01]","[-0.08422745  0.11206233 -0.01937645 ..., -0.42417696 -0.032      -0.316     ]","[-0.1310177   0.14747083 -0.04249279 ...,  0.42637684 -0.061      -0.23200001]"
"[ 0.05915538  0.00537567 -0.03834162 ...,  0.39951495  0.01400001
 -0.48900001]","[-0.08922745  0.10706233 -0.01437645 ..., -0.42417696 -0.028      -0.316     ]","[-0.1330177   0.14547083 -0.04049279 ...,  0.42537684 -0.062      -0.23000001]"
