rewardsSubIter0,rewardsSubIter1,rewardsSubIter2
"[ 145.88633065  162.52165393  143.84474004  177.35552332  196.57756226
  144.58515513  145.88633065  162.52165393  144.58515513  145.88633065
  162.52165393  143.84474004]","[ 188.90168383  171.71594744   97.97825307  182.4090209   203.8690063
   93.84596084  188.90168383  171.71594744  165.96898947   72.99177574
  203.8690063    93.84596084]","[ 161.11912442  112.81623518  195.47358442  158.67360174  124.41095675
  138.13652773  178.88263948  161.11912442  124.41095675  138.13652773
  178.88263948  161.11912442]"
"[ 134.27386616  226.99844223  141.78664522  163.66466662  226.99844223
  141.78664522  163.66466662  198.13941043  202.67483422  134.27386616
  226.99844223  141.78664522]","[ 168.3758286   162.84756848  128.24481343  210.30177302  180.8667376
  150.80104205  163.13716236  166.33113545  128.24481343  210.30177302
  180.8667376   150.80104205]","[ 116.80718421  148.39224277  111.33878415  137.31917689  137.31917689
  101.61060048  117.70174669  164.30621934  116.80718421  148.39224277
  111.33878415  137.31917689]"
"[ 174.41492631  195.82529847  208.51241881  157.05332891  195.82529847
  208.51241881  157.05332891  193.08246486  184.39419643  174.41492631
  195.82529847  208.51241881]","[ 142.97048599  172.29583051  160.01403724  160.65532321  160.01403724
  160.65532321  164.66272481  179.49338997  164.66272481  179.49338997
  153.31467074  146.48946148]","[ 129.22860897  153.92468876  238.2697187   194.64673727  129.22860897
  153.92468876  238.2697187   194.64673727  194.64673727  150.86524324
  106.10512308   79.15095775]"
"[ 158.72696844  205.78731749  210.87486383  191.82174964  187.10826595
  158.72696844  205.78731749  210.87486383  205.78731749  210.87486383
  191.82174964  158.56228406]","[ 150.36542291  173.05513312  159.31560399  204.2696776   159.31560399
  204.2696776   147.27516237  198.4341075   117.77368409  129.72103162
  150.36542291  173.05513312]","[ 158.86536737  117.99756494  215.94774059  186.49343682  196.91885893
  119.07422266   90.98305264  158.86536737  196.91885893  119.07422266
   90.98305264  158.86536737]"
"[ 175.55931852  177.22325509   99.91022358  206.98334563  177.22325509
   99.91022358  206.98334563  173.80482159   99.91022358  206.98334563
  173.80482159  176.08891476]","[ 109.9862402   203.3343118   189.40287373  186.74846138  167.52430166
  185.62538307  109.9862402   203.3343118   189.40287373  186.74846138
  202.25632274  162.13639882]","[ 161.68131706  171.35728138  105.29687806  134.78430264  129.58998257
  213.01373165  163.50909428  161.68131706  129.58998257  213.01373165
  163.50909428  161.68131706]"
"[ 137.29330353  191.65072946  157.14100574  192.26558     184.49919276
  183.03496783  137.29330353  191.65072946  183.03496783  137.29330353
  191.65072946  157.14100574]","[ 163.7702358   196.03468405  156.66268818  181.36187273  156.66268818
  181.36187273  201.59879887  167.15060247  201.59879887  167.15060247
  194.95560696  109.90232643]","[ 166.54381452  127.40176672  161.94618809  212.96067208  212.96067208
  166.75635883   97.08730508  111.32542616  166.54381452  127.40176672
  161.94618809  212.96067208]"
"[ 214.81410854  176.65247056  209.65933641  193.0879428   165.36019971
  214.81410854  176.65247056  209.65933641  176.65247056  209.65933641
  193.0879428   193.67229839]","[ 180.28428677  165.17578348  188.11656448  160.16700954  150.42012337
  146.61008817  130.44758911  154.69840098  188.11656448  160.16700954
  150.42012337  146.61008817]","[ 179.22326319   90.43205763  204.21780488  180.57895576  179.22326319
   90.43205763  204.21780488  180.57895576  180.57895576   57.77384775
  214.32158534  195.50113881]"
"[ 165.5061429   160.38269693  168.35376199  193.57354674  159.99677522
  165.5061429   160.38269693  168.35376199  169.51065151  159.99677522
  165.5061429   160.38269693]","[ 144.33857585  185.03057672  166.02562948  165.39793566  166.02562948
  165.39793566  147.38861599  145.76704299  147.38861599  145.76704299
  177.91140716  151.76482579]","[ 104.66117202  191.9136215   175.10634389  162.97294176  104.66117202
  191.9136215   175.10634389  162.97294176  162.97294176  188.8595748
  191.0513044   111.51308837]"
"[ 181.78092759  194.58123746  208.22360533  169.66163506  194.58123746
  208.22360533  169.66163506  185.64640074  208.22360533  169.66163506
  185.64640074  211.04460284]","[ 181.09325252  175.8563201   157.91889783  106.61298623  157.91889783
  106.61298623  153.23215945  192.4287459   137.31689387  179.2226799
  181.09325252  175.8563201 ]","[ 190.53115336  182.23950325  116.2797796   201.00555791  201.00555791
  140.51564915  164.80019998  191.61331655  190.53115336  182.23950325
  116.2797796   201.00555791]"
"[ 200.73528867  216.5878485   183.92609472  217.04606286  183.92609472
  217.04606286  188.61440755  180.97190035  216.5878485   183.92609472
  217.04606286  188.61440755]","[ 158.37844546  136.23306049  131.19526853  170.16524236  131.19526853
  170.16524236  136.40273339  161.2589557   172.27472181  131.05088859
  158.37844546  136.23306049]","[ 171.01000876  162.30705659  192.94697719  210.59815624  210.59815624
  231.03570432  205.21305624  202.90232016  171.01000876  162.30705659
  192.94697719  210.59815624]"
